Dataset size: 112120 images.
GAN training: time elapsed = 11058.34 [s] | epoch=4 | batch= [701/3503]
GAN training: time elapsed = 11107.26 [s] | epoch=4 | batch= [751/3503]
GAN training: time elapsed = 11156.35 [s] | epoch=4 | batch= [801/3503]
GAN training: time elapsed = 11205.39 [s] | epoch=4 | batch= [851/3503]
GAN training: time elapsed = 11254.37 [s] | epoch=4 | batch= [901/3503]
GAN training: time elapsed = 11303.25 [s] | epoch=4 | batch= [951/3503]
GAN training: time elapsed = 11352.33 [s] | epoch=4 | batch= [1001/3503]
GAN training: time elapsed = 11401.50 [s] | epoch=4 | batch= [1051/3503]
GAN training: time elapsed = 11450.64 [s] | epoch=4 | batch= [1101/3503]
GAN training: time elapsed = 11501.34 [s] | epoch=4 | batch= [1151/3503]
GAN training: time elapsed = 11551.58 [s] | epoch=4 | batch= [1201/3503]
GAN training: time elapsed = 11601.90 [s] | epoch=4 | batch= [1251/3503]
GAN training: time elapsed = 11651.89 [s] | epoch=4 | batch= [1301/3503]
GAN training: time elapsed = 11701.99 [s] | epoch=4 | batch= [1351/3503]
GAN training: time elapsed = 11752.28 [s] | epoch=4 | batch= [1401/3503]
GAN training: time elapsed = 11802.58 [s] | epoch=4 | batch= [1451/3503]
GAN training: time elapsed = 11853.37 [s] | epoch=4 | batch= [1501/3503]
GAN training: time elapsed = 11903.20 [s] | epoch=4 | batch= [1551/3503]
GAN training: time elapsed = 11952.30 [s] | epoch=4 | batch= [1601/3503]
GAN training: time elapsed = 12001.25 [s] | epoch=4 | batch= [1651/3503]
GAN training: time elapsed = 12050.34 [s] | epoch=4 | batch= [1701/3503]
GAN training: time elapsed = 12099.62 [s] | epoch=4 | batch= [1751/3503]
GAN training: time elapsed = 12148.95 [s] | epoch=4 | batch= [1801/3503]
GAN training: time elapsed = 12198.40 [s] | epoch=4 | batch= [1851/3503]
GAN training: time elapsed = 12247.32 [s] | epoch=4 | batch= [1901/3503]
GAN training: time elapsed = 12296.35 [s] | epoch=4 | batch= [1951/3503]
GAN training: time elapsed = 12345.45 [s] | epoch=4 | batch= [2001/3503]
GAN training: time elapsed = 12394.53 [s] | epoch=4 | batch= [2051/3503]
GAN training: time elapsed = 12443.91 [s] | epoch=4 | batch= [2101/3503]
GAN training: time elapsed = 12492.92 [s] | epoch=4 | batch= [2151/3503]
GAN training: time elapsed = 12543.01 [s] | epoch=4 | batch= [2201/3503]
GAN training: time elapsed = 12591.98 [s] | epoch=4 | batch= [2251/3503]
GAN training: time elapsed = 12641.11 [s] | epoch=4 | batch= [2301/3503]
GAN training: time elapsed = 12665.21 [s] | epoch=4 | batch= [2351/3503]
GAN training: time elapsed = 12689.33 [s] | epoch=4 | batch= [2401/3503]
GAN training: time elapsed = 12738.38 [s] | epoch=4 | batch= [2451/3503]
GAN training: time elapsed = 12787.18 [s] | epoch=4 | batch= [2501/3503]
GAN training: time elapsed = 12836.34 [s] | epoch=4 | batch= [2551/3503]
GAN training: time elapsed = 12885.38 [s] | epoch=4 | batch= [2601/3503]
GAN training: time elapsed = 12934.52 [s] | epoch=4 | batch= [2651/3503]
GAN training: time elapsed = 12983.57 [s] | epoch=4 | batch= [2701/3503]
GAN training: time elapsed = 13032.80 [s] | epoch=4 | batch= [2751/3503]
GAN training: time elapsed = 13082.07 [s] | epoch=4 | batch= [2801/3503]
GAN training: time elapsed = 13131.17 [s] | epoch=4 | batch= [2851/3503]
GAN training: time elapsed = 13180.07 [s] | epoch=4 | batch= [2901/3503]
GAN training: time elapsed = 13229.02 [s] | epoch=4 | batch= [2951/3503]
GAN training: time elapsed = 13278.85 [s] | epoch=4 | batch= [3001/3503]
GAN training: time elapsed = 13328.40 [s] | epoch=4 | batch= [3051/3503]
GAN training: time elapsed = 13377.60 [s] | epoch=4 | batch= [3101/3503]
GAN training: time elapsed = 13426.78 [s] | epoch=4 | batch= [3151/3503]
GAN training: time elapsed = 13476.19 [s] | epoch=4 | batch= [3201/3503]
GAN training: time elapsed = 13525.11 [s] | epoch=4 | batch= [3251/3503]
GAN training: time elapsed = 13574.35 [s] | epoch=4 | batch= [3301/3503]
GAN training: time elapsed = 13623.55 [s] | epoch=4 | batch= [3351/3503]
GAN training: time elapsed = 13672.67 [s] | epoch=4 | batch= [3401/3503]
GAN training: time elapsed = 13721.52 [s] | epoch=4 | batch= [3451/3503]
GAN training: time elapsed = 13770.44 [s] | epoch=4 | batch= [3501/3503]
GAN training: time elapsed = 13773.93 [s] | epoch=5 | batch= [1/3503]
GAN training: time elapsed = 13822.91 [s] | epoch=5 | batch= [51/3503]
GAN training: time elapsed = 13871.96 [s] | epoch=5 | batch= [101/3503]
GAN training: time elapsed = 13920.97 [s] | epoch=5 | batch= [151/3503]
GAN training: time elapsed = 13969.78 [s] | epoch=5 | batch= [201/3503]
GAN training: time elapsed = 14018.86 [s] | epoch=5 | batch= [251/3503]
GAN training: time elapsed = 14068.15 [s] | epoch=5 | batch= [301/3503]
GAN training: time elapsed = 14117.22 [s] | epoch=5 | batch= [351/3503]
GAN training: time elapsed = 14166.59 [s] | epoch=5 | batch= [401/3503]
GAN training: time elapsed = 14216.63 [s] | epoch=5 | batch= [451/3503]
GAN training: time elapsed = 14267.20 [s] | epoch=5 | batch= [501/3503]
GAN training: time elapsed = 14317.41 [s] | epoch=5 | batch= [551/3503]
GAN training: time elapsed = 14367.79 [s] | epoch=5 | batch= [601/3503]
GAN training: time elapsed = 14418.11 [s] | epoch=5 | batch= [651/3503]
GAN training: time elapsed = 14468.49 [s] | epoch=5 | batch= [701/3503]
GAN training: time elapsed = 14518.89 [s] | epoch=5 | batch= [751/3503]
GAN training: time elapsed = 14569.15 [s] | epoch=5 | batch= [801/3503]
GAN training: time elapsed = 14619.58 [s] | epoch=5 | batch= [851/3503]
GAN training: time elapsed = 14669.81 [s] | epoch=5 | batch= [901/3503]
GAN training: time elapsed = 14719.87 [s] | epoch=5 | batch= [951/3503]
GAN training: time elapsed = 14769.93 [s] | epoch=5 | batch= [1001/3503]
GAN training: time elapsed = 14820.16 [s] | epoch=5 | batch= [1051/3503]
GAN training: time elapsed = 14870.27 [s] | epoch=5 | batch= [1101/3503]
GAN training: time elapsed = 14920.34 [s] | epoch=5 | batch= [1151/3503]
GAN training: time elapsed = 14970.29 [s] | epoch=5 | batch= [1201/3503]
GAN training: time elapsed = 15020.25 [s] | epoch=5 | batch= [1251/3503]
GAN training: time elapsed = 15070.26 [s] | epoch=5 | batch= [1301/3503]
GAN training: time elapsed = 15120.21 [s] | epoch=5 | batch= [1351/3503]
GAN training: time elapsed = 15170.37 [s] | epoch=5 | batch= [1401/3503]
GAN training: time elapsed = 15220.55 [s] | epoch=5 | batch= [1451/3503]
GAN training: time elapsed = 15270.61 [s] | epoch=5 | batch= [1501/3503]
GAN training: time elapsed = 15320.52 [s] | epoch=5 | batch= [1551/3503]
GAN training: time elapsed = 15370.64 [s] | epoch=5 | batch= [1601/3503]
GAN training: time elapsed = 15420.51 [s] | epoch=5 | batch= [1651/3503]
GAN training: time elapsed = 15470.54 [s] | epoch=5 | batch= [1701/3503]
GAN training: time elapsed = 15520.65 [s] | epoch=5 | batch= [1751/3503]
GAN training: time elapsed = 15570.85 [s] | epoch=5 | batch= [1801/3503]
GAN training: time elapsed = 15620.89 [s] | epoch=5 | batch= [1851/3503]
GAN training: time elapsed = 15671.09 [s] | epoch=5 | batch= [1901/3503]
GAN training: time elapsed = 15721.27 [s] | epoch=5 | batch= [1951/3503]
GAN training: time elapsed = 15771.18 [s] | epoch=5 | batch= [2001/3503]
GAN training: time elapsed = 15821.22 [s] | epoch=5 | batch= [2051/3503]
GAN training: time elapsed = 15871.27 [s] | epoch=5 | batch= [2101/3503]
GAN training: time elapsed = 15921.33 [s] | epoch=5 | batch= [2151/3503]
GAN training: time elapsed = 15971.51 [s] | epoch=5 | batch= [2201/3503]
GAN training: time elapsed = 16021.53 [s] | epoch=5 | batch= [2251/3503]
GAN training: time elapsed = 16071.41 [s] | epoch=5 | batch= [2301/3503]
GAN training: time elapsed = 16121.55 [s] | epoch=5 | batch= [2351/3503]
GAN training: time elapsed = 16171.60 [s] | epoch=5 | batch= [2401/3503]
GAN training: time elapsed = 16221.79 [s] | epoch=5 | batch= [2451/3503]
GAN training: time elapsed = 16271.96 [s] | epoch=5 | batch= [2501/3503]
GAN training: time elapsed = 16322.25 [s] | epoch=5 | batch= [2551/3503]
GAN training: time elapsed = 16372.32 [s] | epoch=5 | batch= [2601/3503]
GAN training: time elapsed = 16422.79 [s] | epoch=5 | batch= [2651/3503]
GAN training: time elapsed = 16473.04 [s] | epoch=5 | batch= [2701/3503]
GAN training: time elapsed = 16522.90 [s] | epoch=5 | batch= [2751/3503]
GAN training: time elapsed = 16572.88 [s] | epoch=5 | batch= [2801/3503]
GAN training: time elapsed = 16623.37 [s] | epoch=5 | batch= [2851/3503]
GAN training: time elapsed = 16673.16 [s] | epoch=5 | batch= [2901/3503]
GAN training: time elapsed = 16723.40 [s] | epoch=5 | batch= [2951/3503]
GAN training: time elapsed = 16773.96 [s] | epoch=5 | batch= [3001/3503]
GAN training: time elapsed = 16823.66 [s] | epoch=5 | batch= [3051/3503]
GAN training: time elapsed = 16873.97 [s] | epoch=5 | batch= [3101/3503]
GAN training: time elapsed = 16924.13 [s] | epoch=5 | batch= [3151/3503]
GAN training: time elapsed = 16974.32 [s] | epoch=5 | batch= [3201/3503]
GAN training: time elapsed = 17024.52 [s] | epoch=5 | batch= [3251/3503]
GAN training: time elapsed = 17074.60 [s] | epoch=5 | batch= [3301/3503]
GAN training: time elapsed = 17124.77 [s] | epoch=5 | batch= [3351/3503]
GAN training: time elapsed = 17174.65 [s] | epoch=5 | batch= [3401/3503]
GAN training: time elapsed = 17225.07 [s] | epoch=5 | batch= [3451/3503]
GAN training: time elapsed = 17274.83 [s] | epoch=5 | batch= [3501/3503]
Generating new images!
